Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Strength training duration (ms)
2024-03-18,24,1379.8698739976855,1018.1383886073639,2.0,2,,,,,0.42030078125845755,1.3436038313587617,0.26047129311811457,2072,,,,,,548606,110085,,
2024-03-19,43,1399.827521167488,1651.8030948780024,5.0,5,,,,,0.4247765797905653,1.4206143937261928,0.26047129311811457,3044,,,,,,1223276,,,
2024-03-20,31,1387.8998530478261,1381.4204705511581,3.0,3,,,,,0.4018937574067258,1.420248924927805,0.25116874693532476,2781,,,,,,970961,,,
2024-03-21,45,1398.1203511882513,1718.0767780746135,5.0,5,,,,,0.417466015965418,1.5107533301324625,0.25116874693532476,3330,,,,,,1187162,,,
2024-03-22,98,1583.9956716403922,5528.095513897157,60.0,59,,,,,0.5575882562947652,1.7715747110141538,0.2552513081628265,9326,,,,,,5104258,,,
2024-03-23,52,1415.5977281161029,1924.069186546046,3.0,3,,,,,0.4170066239423936,1.1717471043129923,0.25116874693532476,4031,,,,,,1556873,,,
2024-03-24,139,1553.669728905978,6113.913392842862,28.0,28,,,,,0.3501876273102615,1.3917960133608371,0.2510969826401823,11001,,,,,,4477606,,,
2024-03-25,43,1409.5800675954795,1825.954817589425,10.0,10,,,,,0.5080593720562898,1.3429059158061774,0.25116874693532476,3258,,,,,,1429577,,,
2024-03-26,55,1427.4357916751387,1772.141593065483,1.0,1,,,,,0.3342178409804102,1.3473247810351796,0.25116874693532476,3523,,,,,,1807291,,,
2024-03-27,29,1370.3846695196223,1187.5670888217628,4.0,4,,,,,0.3859628783787305,2.089071427530778,0.2697738393009044,2370,,,,,,600451,,,
2024-03-28,5,1341.9995064735413,284.19199764105036,,,,,,,0.37442583378657507,0.9458080593914537,0.25116874693532476,887,,,,,,,,,
2024-03-29,40,1429.712221953281,3071.9188254103683,42.0,29,,,,,0.38044781966934105,2.2347013151847417,0.26047129311811457,4804,,,,,,1855447,,,
2024-03-30,8,752.9537003644087,254.17802829670873,,,,,,,0.2979577907145371,1.0758484337218512,0.25116874693532476,550,,,,,,113092,,,
2025-01-07,,1341.9995064735413,,,,,,,,,,,,,,,,,,,,
2025-01-08,67,1517.726670731181,3658.2178653280503,33.0,33,,,,,0.5569743781938057,1.281984735912707,0.25116874693532476,6169,,,,,,3717275,,,
2025-01-09,36,1419.7242447718613,1465.3217588341663,,,,,,,0.3227277335470584,1.082961720169779,0.2783717569738541,2664,,,,,,1644164,,,
2025-01-10,15,1360.7419491318283,515.1236010782089,,,,,,,0.508456246560939,1.22914245403571,0.2790763676228067,1282,,,,,,396472,,,
